Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23457400333,Đồng hồ thông minh Định vị Trẻ em Lắp sim Nghe gọi Video Call Chống nước cho bé trai bé gái JUNIOR09 WATCH KID MINI,"899,0k",1k+,JUNIOR09 STORE SMARTWATCH,9%,₫80.910,https://shopee.vn/product/507867749/23457400333,https://s.shopee.vn/7KuZwu96I3
56207842199,"Điện thoại Redmi K90 - Fullbox Full Phụ Kiện, Bảo hành 12 tháng, Lỗi 1 đổi 1 trong 30 ngày đầu - Snapdragon 8 Elite.","10,1tr",14,Thuanphatsmartphone 75,8%,₫808.000,https://shopee.vn/product/1779265991/56207842199,https://s.shopee.vn/8V6XL34evI
43454142071,[Tặng Kèm Bàn Phím] Máy Tính Bảng Honor Pad X9a Wifi 6GB+128GB| Pin 8300mAh| Chip Snapdragon 685| BH 18 Tháng,"6,2tr",1k+,HONOR Official Store,6%,₫371.340,https://shopee.vn/product/981287673/43454142071,https://s.shopee.vn/8Kn78k5IGH
21587529485,"Quạt Tích Điện Tự Động Xoay, Quạt Kẹp Xe Đẩy, Quạt Để Bàn Góc Xoay 160°, Không Gây Tiếng Ồn NKC20","357,0k",3k+,Nam Khánh Tuyển Chọn,16%,₫57.112,https://shopee.vn/product/1219799080/21587529485,https://s.shopee.vn/8ATgwR5vbG
51506369355,Đồng hồ thông minh Amazfit T-Rex Ultra 2 | Lưng Titanium | Voice Memo | Grade Adjusted Pace- Hàng chính hãng - BH 12th,"15,0tr",44,Amazfit Official_Store,7%,₫1.049.300,https://shopee.vn/product/805717445/51506369355,https://s.shopee.vn/80AGk86YwF
24835940211,Apple iPhone 16 128GB Chính hãng VN/A,"20,8tr",3k+,Viettel Store- AAR ,4%,₫831.600,https://shopee.vn/product/308461157/24835940211,https://s.shopee.vn/9AME8H27ZU
28151458673,"Quạt Tích Điện Kẹp LOẠI TO JOTARO J28 Pin Siêu Trâu 60Giờ, Hiện thị %pin, Dung Lượng Pin lớn, Lồng quạt 20cm","318,0k",20k+,Thiên Đường Điện Tử HN,6%,₫19.080,https://shopee.vn/product/272296363/28151458673,https://s.shopee.vn/902nvy2kuT
46258482111,Sạc Dự Phòng PISEN PowerMag 20W 10000mAh Sạc Nhanh Không Dây 2in1 Pin Trâu Nhỏ Gọn Giá Đỡ LS-DY240,"580,0k",34,Pisen ViệtNam,14%,₫81.200,https://shopee.vn/product/1574220340/46258482111,https://s.shopee.vn/8pjNjf3OFS
47409645243,[Bán Chạy] Aolon Tetra R4 Đồng hồ thông minh xịn | GPS | AMOLED | Strava | Theo dõi sức khỏe | Chống nước 1ATM,"902,0k",490,AOLON,14%,₫126.280,https://shopee.vn/product/1542481969/47409645243,https://s.shopee.vn/8fPxXM41aR
45759495272,"Samsung Galaxy A15 5G (6GB + 128GB) | Màn Hình 6.5"" Super AMOLED | Camera 50MP | Bảo Hành Chính Hãng Samsung Việt Nam","3,2tr",72,Factory Mobile,13%,₫414.700,https://shopee.vn/product/1557155991/45759495272,https://s.shopee.vn/9pbuvUzaDg
